SLSQPiter,kp,ki,kd,Ts,M,SSe,feas,feasResidual,Time(s),gradnorm,funCalls
0,0.5,0.5,0.5,22.327610901077772,0.016367306774645905,0.15499851923308938,False,0.15399851923308938,0.4197359085083008,2.751550771667799,0
1,0.5999518969396753,0.7976267136863711,0.48211857496366434,21.26710394565071,0.008417548603467634,0.05891908190691897,False,0.05791908190691897,13.734707832336426,4.4669026685246935,26
2,0.704316311354484,1.123042355948858,0.44926447917723855,19.570208028420236,0.00405430401508516,0.022234012881307663,False,0.021234012881307662,24.41861629486084,6.082213479490285,45
3,0.81956284767361,1.4873470715422596,0.3959349061299912,17.31953234687744,0.0018316174110815644,0.008208124113469606,False,0.007208124113469606,35.21034812927246,6.526757556976287,64
4,0.9491827098459189,1.9171126871120228,0.3147135470138356,14.832755591130022,0.0007550065899951507,0.0028396267030198485,False,0.0018396267030198485,46.00295329093933,5.601137251651033,83
5,1.115497214407859,2.495272016087611,0.1896942052586989,12.287636168742521,0.0002541130326321457,0.0008077382957016876,True,0.0,56.88923621177673,3.987565922992572,102
6,1.429828222633237,3.6062919138377385,-0.05762615075659866,9.371766991362605,4.360702295842012e-05,0.00011312826918641328,True,0.0,67.71256065368652,2.141548312772946,121
7,3.0853152963986057,9.447949564418632,-1.3502268610820576,5.039122647979676,3.037174815890946e-07,5.577557512514986e-07,True,0.0,78.66968941688538,0.37452501900233287,140
8,2.9801400396694797,9.796257591209251,-1.2649747548923298,4.9044865412572785,2.2296588050645146e-07,4.026943876134226e-07,True,0.0,90.23936295509338,0.35053737412230257,159
9,2.8498098299198134,10.0,-1.0887470834887154,4.809222049636526,1.7297888266277305e-07,3.0808025253126203e-07,True,0.0,101.68161821365356,0.345305013387032,178
10,2.6101280571970595,10.0,-0.7306531309192512,4.745165191420406,1.3564706624150352e-07,2.3813900462688053e-07,True,0.0,112.30705547332764,0.3527337303911038,197
11,1.1613510546308632,9.999999999999996,1.171649403441912,4.393477582953263,2.6299199488831892e-08,4.2367447883329135e-08,True,0.0,123.33865547180176,0.33144725836691996,216
12,-6.19192149632138,10.0,10.0,3.982827938201198,0.02737928979081952,-2.3175306118616845e-10,True,0.0,134.3354949951172,1.0438342255007613,235
13,-1.0917874472014457,10.0,3.5268413978902062,3.914194754174336,9.28975786405881e-10,1.3131183917991507e-09,True,0.0,145.32776069641113,0.25996187301856005,254
14,-4.777905998152999,10.0,7.77204604802989,2.725572771944365,0.0008587410827093724,4.296563105299356e-14,True,0.0,157.69409155845642,0.21690548458729325,277
15,-7.6464191932362295,9.419365014153962,9.999999999999998,3.6070825064006478,0.05406875649793495,1.4212986343409284e-09,True,0.0,169.1112084388733,1.0416017168393612,296
16,-8.341083550822503,8.780126197438161,10.0,4.930808477510583,0.11348139540810175,-1.461836220961743e-07,False,0.01348139540810174,181.8416862487793,1.5384362644666159,319
17,-8.769967102050726,8.276114318816262,10.0,7.904319180613957,0.20399672523630183,-9.737944617338457e-06,False,0.10399672523630182,194.6093864440918,6.020112798685272,342
18,-9.029820077262515,7.948676067754047,9.999999999488022,9.842936145866652,0.29509476180297395,-0.00010502049804261837,False,0.19509476180297394,207.34565806388855,14.743503064518102,365
19,-9.145878115315009,7.877172014476955,10.0,11.466743589189093,0.3382013878443347,-0.0002045879301346698,False,0.23820138784433467,220.8099856376648,10.922327108005952,388
20,-9.1658571799234,7.9043458252428564,10.0,11.432781124227446,0.34124116179084196,-0.00016159763721823595,False,0.24124116179084196,235.33886003494263,11.579947642536935,415
21,-9.098085616446495,7.958692424028156,9.968754793194144,11.259473472220696,0.3175443704913072,-8.335962319350187e-05,False,0.21754437049130718,250.00801396369934,11.498007975556401,442
22,-10.0,5.281502502670241,10.0,inf,1.8738564388628118,inf,False,inf,264.6261086463928,0.0,469
23,-10.0,-4.144078153920388,10.0,inf,inf,inf,False,inf,279.11687207221985,0.0,496
24,-10.0,-10.0,10.0,inf,inf,inf,False,inf,295.3011152744293,0.0,527
25,-6.865381653115345,9.308186090992594,8.676315569709546,2.059681284726445,0.012889265392816103,2.503153240240863e-11,True,0.0,311.5473554134369,2.018502239187189,558
26,-9.989324679007497,9.111636737731226,7.32829759365159,inf,inf,inf,False,inf,322.6033442020416,0.0,577
27,-9.999999999999881,9.24379813357356,6.461741335152462,inf,inf,inf,False,inf,335.94276571273804,0.0,600
28,-10.0,9.846693996648618,6.005166495647353,inf,inf,inf,False,inf,350.49299573898315,0.0,627
29,-7.050586316888685,10.0,7.608177433752465,5.017187350922075,0.06773078203324989,-6.280260467228516e-08,True,0.0,365.1372582912445,7.9498655804180975,654
30,-7.015942835684942,9.999999999999982,7.33443773946979,6.068897123125911,0.11755386043228792,2.967335318571074e-07,False,0.017553860432287918,379.7785952091217,10.592345285887577,681
31,-6.958777558279755,9.99999999999429,7.162621561696793,6.165631455439451,0.1437301252796946,1.4668189538546983e-06,False,0.04373012527969458,394.373676776886,11.05483041542453,708
32,-6.923026063736183,9.999999994565284,7.094412270372636,7.004262095090902,0.15084901908148546,1.8422183597488484e-06,False,0.05084901908148545,408.9630389213562,12.068034659957702,735
33,-6.91030393880948,9.999998439343097,7.075483825781145,7.026416492297788,0.15200903502024196,1.8722284770289477e-06,False,0.052009035020241956,423.5987219810486,12.092693441841034,762
34,-6.904869181157857,10.0,7.0660957337313155,7.037862607970502,0.1528545450825177,1.8992590621325078e-06,False,0.05285454508251769,438.3793661594391,12.10677455212443,789
35,-8.170101617009312,9.453693168106382,7.674499829469422,inf,0.48184107989738384,inf,False,inf,454.7344660758972,inf,820
36,-7.579388839259985,9.78297594696143,7.628137305459792,8.729533765735459,0.2165518338156562,-1.1933966708621568e-05,False,0.1165518338156562,470.94136691093445,23.0368826325708,851
37,-8.068574611357512,10.0,5.87111736760389,inf,inf,inf,False,inf,489.2377870082855,0.0,886
38,-8.086541313189539,10.0,4.682772631609264,inf,inf,inf,False,inf,507.0989797115326,0.0,921
39,-8.029954303164603,9.999999999991163,4.348613192469841,inf,inf,inf,False,inf,526.2084627151489,0.0,960
40,-8.02312450109468,10.0,4.3074444140016706,inf,inf,inf,False,inf,545.6885929107666,0.0,999
41,-8.022871388791442,10.0,4.304759324670986,inf,inf,inf,False,inf,565.2923209667206,0.0,1038
42,-8.01866893430953,9.996340454560393,4.326960435470799,inf,inf,inf,False,inf,584.8042023181915,0.0,1077
43,-8.170050928299444,9.454973241679882,7.6726325682542384,inf,0.48256251271870393,inf,False,inf,603.9490723609924,inf,1116
44,-8.411116922504785,9.999999999999998,6.589336212705854,inf,inf,inf,False,inf,623.3282220363617,0.0,1155
45,-7.221855547438425,9.329231467832082,8.4319585458511,1.6306861133201953,0.011238244105259036,1.0538940831139598e-09,True,0.0,636.5731489658356,2.971618009880432,1179
