Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,M_h,SSe_h_abs,vmax,SSe_V_abs
0.04,0.01,1.999999,0.6,0.25,0.3,0.08,0.1458736636536876,0.00295632706188087,20.88604633783237,0.00033654636607494126
0.04,0.01,1.9999990408163266,0.6,0.25,0.3,0.08,0.1458736529393144,0.0029564092824614363,20.88604633655638,0.0003365220457851592
0.04,0.01,1.9999990816326532,0.6,0.25,0.3,0.08,0.14587365177872602,0.0029564095068081997,20.886046335280383,0.0003365220214739395
0.04,0.01,1.9999991224489795,0.6,0.25,0.3,0.08,0.14587365061808805,0.00295640973143918,20.88604633400431,0.0003365219970099531
0.04,0.01,1.999999163265306,0.6,0.25,0.3,0.08,0.14587365901124272,0.0029563279599784664,20.886046332728306,0.0003365462684854492
0.04,0.01,1.9999992040816326,0.6,0.25,0.3,0.08,0.14587364829688018,0.002956410180416924,20.886046331452338,0.0003365219483022486
0.04,0.01,1.999999244897959,0.6,0.25,0.3,0.08,0.14587364713624054,0.0029564104051615914,20.886046330176338,0.00033652192380628776
0.04,0.01,1.9999992857142856,0.6,0.25,0.3,0.08,0.14587365552944986,0.002956328633459293,20.886046328900303,0.00033654619532796914
0.04,0.01,1.9999993265306122,0.6,0.25,0.3,0.08,0.1458736543688401,0.0029563288581044844,20.886046327624324,0.00033654617083911376
0.04,0.01,1.9999993673469387,0.6,0.25,0.3,0.08,0.1458736436544392,0.002956411078642418,20.886046326348357,0.00033652185066301854
0.04,0.01,1.9999994081632653,0.6,0.25,0.3,0.08,0.14587365204761976,0.0029563293072527586,20.88604632507227,0.00033654612203193324
0.04,0.01,1.9999994489795918,0.6,0.25,0.3,0.08,0.1458736413331773,0.002956411527719638,20.88604632379627,0.00033652180185939073
0.04,0.01,1.9999994897959184,0.6,0.25,0.3,0.08,0.1458736497264466,0.00295632975618787,20.886046322520336,0.00033654607326027985
0.04,0.01,1.999999530612245,0.6,0.25,0.3,0.08,0.1458736485657751,0.0029563299808756938,20.886046321244173,0.00033654604889576945
0.04,0.01,1.9999995714285714,0.6,0.25,0.3,0.08,0.1458736378513735,0.002956412201172043,20.886046319968276,0.0003365217286557254
0.04,0.01,1.999999612244898,0.6,0.25,0.3,0.08,0.14587363669074077,0.002956412425930921,20.886046318692294,0.0003365217042770041
0.04,0.01,1.9999996530612245,0.6,0.25,0.3,0.08,0.1458736355301254,0.0029564126503771604,20.886046317416255,0.00033652167984854486
0.04,0.01,1.999999693877551,0.6,0.25,0.3,0.08,0.14587364392338367,0.0029563308788169707,20.886046316140238,0.00033654595127075027
0.04,0.01,1.9999997346938776,0.6,0.25,0.3,0.08,0.14587364276277942,0.002956331103277421,20.88604631486422,0.0003365459269133453
0.04,0.01,1.9999997755102041,0.6,0.25,0.3,0.08,0.14587363204827367,0.0029564133239006196,20.88604631358818,0.00033652160670172293
0.04,0.01,1.9999998163265307,0.6,0.25,0.3,0.08,0.14587364044153103,0.0029563315525962253,20.886046312312196,0.00033654587802445235
0.04,0.01,1.9999998571428572,0.6,0.25,0.3,0.08,0.14587363928093372,0.0029563317769714104,20.886046311036132,0.0003365458536812582
0.04,0.01,1.9999998979591838,0.6,0.25,0.3,0.08,0.1458736381203478,0.0029563320013465955,20.88604630976011,0.0003365458293416168
0.04,0.01,1.9999999387755103,0.6,0.25,0.3,0.08,0.14587362740583734,0.002956414222197168,20.886046308484246,0.00033652150900209676
0.04,0.01,1.9999999795918368,0.6,0.25,0.3,0.08,0.14587362624518396,0.0029564144467144615,20.886046307208137,0.0003365214846446918
0.04,0.01,2.000000020408163,0.6,0.25,0.3,0.08,0.14587363463853398,0.0029563326748984764,20.886046305932076,0.000336545756155715
0.04,0.01,2.00000006122449,0.6,0.25,0.3,0.08,0.1458736334778783,0.0029563328996715654,20.88604630465604,0.00033654573161712165
0.04,0.01,2.0000001020408162,0.6,0.25,0.3,0.08,0.14587362276337612,0.0029564151201526556,20.886046303380102,0.0003365214114623427
0.04,0.01,2.000000142857143,0.6,0.25,0.3,0.08,0.1458736311566708,0.0029563333487203636,20.886046302104063,0.0003365456829129698
0.04,0.01,2.0000001836734693,0.6,0.25,0.3,0.08,0.14587362044212154,0.0029564155692156646,20.886046300828042,0.00033652136266937305
0.04,0.01,2.000000224489796,0.6,0.25,0.3,0.08,0.14587362883551225,0.002956333797627053,20.886046299552014,0.00033654563411644745
0.04,0.01,2.0000002653061224,0.6,0.25,0.3,0.08,0.14587362767490455,0.002956334022130136,20.886046298276103,0.00033654560969864633
0.04,0.01,2.000000306122449,0.6,0.25,0.3,0.08,0.145873626514258,0.0029563342468605924,20.886046297000036,0.00033654558529150336
0.04,0.01,2.0000003469387755,0.6,0.25,0.3,0.08,0.14587361579968078,0.0029564164674269477,20.886046295724032,0.0003365212650763283
0.04,0.01,2.0000003877551022,0.6,0.25,0.3,0.08,0.14587362419304703,0.002956334695952023,20.88604629444804,0.000336545536470112
0.04,0.01,2.0000004285714286,0.6,0.25,0.3,0.08,0.14587362303249463,0.002956334920170889,20.886046293172058,0.00033654551211981243
0.04,0.01,2.000000469387755,0.6,0.25,0.3,0.08,0.14587362187184766,0.002956335144929767,20.886046291896,0.0003365454876771423
0.04,0.01,2.0000005102040816,0.6,0.25,0.3,0.08,0.14587361115722297,0.002956417365538755,20.88604629061999,0.0003365211674193347
0.04,0.01,2.000000551020408,0.6,0.25,0.3,0.08,0.14587361955064446,0.002956335593879089,20.886046289344026,0.0003365454389268052
0.04,0.01,2.0000005918367347,0.6,0.25,0.3,0.08,0.14587361839000693,0.002956335818382172,20.886046288067906,0.0003365454145054514
0.04,0.01,2.000000632653061,0.6,0.25,0.3,0.08,0.1458736076753879,0.002956418039090636,20.88604628679191,0.0003365210942902763
0.04,0.01,2.000000673469388,0.6,0.25,0.3,0.08,0.14587360651476516,0.002956418263650562,20.88604628551592,0.0003365210698760279
0.04,0.01,2.000000714285714,0.6,0.25,0.3,0.08,0.14587361490822356,0.0029563364919908963,20.886046284239956,0.00033654534132665503
0.04,0.01,2.000000755102041,0.6,0.25,0.3,0.08,0.14587361374762156,0.002956336716394503,20.886046282963907,0.0003365453169230648
0.04,0.01,2.000000795918367,0.6,0.25,0.3,0.08,0.1458736030329303,0.002956418937287708,20.886046281687943,0.0003365209966510463
0.04,0.01,2.000000836734694,0.6,0.25,0.3,0.08,0.14587361142641803,0.00295633716575594,20.886046280412003,0.00033654526808390983
0.04,0.01,2.0000008775510203,0.6,0.25,0.3,0.08,0.1458736102657687,0.0029563373902874446,20.886046279135865,0.0003365452436909777
0.04,0.01,2.000000918367347,0.6,0.25,0.3,0.08,0.14587359955112222,0.002956419610740113,20.886046277859883,0.0003365209234900135
0.04,0.01,2.0000009591836734,0.6,0.25,0.3,0.08,0.14587360794458604,0.002956337839094658,20.886046276583897,0.00033654519489800805
0.04,0.01,2.000001,0.6,0.25,0.3,0.08,0.1458736067839834,0.0029563380636403735,20.88604627530781,0.0003365451704944178
